RADAR_NAME  SITE_NAME     LAT_DEG LAT_MIN LAT_SEC  LON_DEG LON_MIN LON_SEC ELEV
KTYX        Montague      43      45      21        75     40      48       597
KUDX        RapidCty      44       7      30       102     49      47       949
KUEX        GrandIsl      40      19      15        98     26      31       622
KVAX        MoodyAFB      30      23      25        83      0       6        72
KVBG        Vandenbg      34      50      17       120     23      46       398
KVBX        Vandenbg      34      50      17       120     23      49       398 
KVNX        VanceAFB      36      44      27        98      7      40       379
KVTX        LosAngls      34      24      42       119     10      46       851
KVWX        Evansville    38      15      37        87     43      28       190
KYUM        Yuma          32      29      43       114     39      24        67
KYUX        Yuma          32      29      43       114     39      24        67
MGDT        GrndTurk      21      27      39        71      7      53        40
PABC        Bethel        60      47      31       161     52      35        54
PGGR        Bethel        60      47      31       161     52      35        54
PACG        Sitka         56      51      10       135     31      45        79
PWRC        Sitka         56      51      10       135     31      45        79
PAEC        Nome          64      30      41       165     17      42        40
PJMG        Nome          64      30      41       165     17      42        40
PAHG        Anchorag      60      43      33       151     21       5       109
PBCS        Anchorag      60      43      33       151     21       5       109
KBCS        Anchorag      60      43      33       151     21       5       109
PAIH        MdltnIsl      59      27      41       146     18      11        30
PRCW        MdltnIsl      59      27      41       146     18      11        30
PAKC        KngSalmn      58      40      46       156     37      46        39
PDVS        KngSalmn      58      40      46       156     37      46        39
PAPD        Fairbnks      65       2       6       147     30       6       820
PSGL        Fairbnks      65       2       6       147     30       6       820
PDON        Kamuela       20       7      32       155     46      40      1191
PHKI        S.Kauai       21      53      39       159     33       8        85
PJAE        S.Kauai       21      53      39       159     33       8        85
PHWA        S.Shore       19       5      42       155     34       8       458 
PHKM        Kohala        20       7      32       155     46      40      1191
PHMO        Molokai       21       7      58       157     10      48       435
PTEJ        Molokai       21       7      58       157     10      48       435
PGUA        Guam          13      27      14       144     48      28        10
TCBR        SanJuan       18       6      56        66      4      41       882
MCBR        SanJuan       18       6      56        66      4      41       882
TJUA        SanJuan       18       6      56        66      4      41       882
KSAO        Chickash      35       1      53        97     57      22       356
KRSP        RushSpr       34      48      46        97     55      50       436
KLWE        Lawton-E      34      37      26        98     16      15       396
KCYR        Cyril         34      52      26        98     15       8       448
TADW        ADW-TDWR      38      41      43        76     50      42       105
TATL        ATL-TDWR      33      38      47        84     15      44       328
TBNA        BNA-TDWR      35      58      46        86     39      42       249
TBOS        BOS-TDWR      42       9      29        70     56       1        80
TBWI        BWI-TDWR      39       5      23        76     37      49       104
TCLE        CLE-TDWR      41      17      23        82      0      27       284
TCLT        CLT-TDWR      35      20      14        80     53       6       265
TCMH        CMH-TDWR      40       0      20        82     42      54       350
TCVG        CVG-TDWR      38      53      53        84     34      48       321
TDAL        DAL-TDWR      32      55      33        96     58       6       190
TDAY        DAY-TDWR      40       1      19        84      7      23       311
TDCA        DCA-TDWR      38      45      32        76     57      42       105
TDEN        DEN-TDWR      39      43      39       104     31      35      1738
TDFW        DFW-TDWR      33       3      53        96     55       5       178
TDTW        DTW-TDWR      42       6      41        83     30      54       235
TEWR        EWR-TDWR      40      35      37        74     16      13        41
TFLL        FLL-TDWR      26       8      35        80     20      38        37
THOU        HOU-TDWR      29      30      59        95     14      30        35
TIAD        IAD-TDWR      39       5       1        77     31      46       144
TIAH        IAH-TDWR      30       3      54        95     34       1        77
TICT        ICT-TDWR      37      30      25        97     26      13       411
TIND        IND-TDWR      39      38      14        86     26       8       258
TJFK        JFK-TDWR      40      35      20        73     52      50        34
TLAS        LAS-TDWR      36       8      37       115      0      26       627
TMCO        MCO-TDWR      28      20      37        81     19      33        52
TMDW        MDW-TDWR      41      39       5        87     43      47       233
TMEM        MEM-TDWR      34      53      45        89     59      33       147
TMIA        MIA-TDWR      25      45      27        80     29      28        38
TMKC        MKC-TDWR      39      29      55        94     44      31       332
TMKE        MKE-TDWR      42      49      10        88      2      47       284
TMSP        MSP-TDWR      44      52      17        92     55      58       341
TMSY        MSY-TDWR      30       1      18        90     24      11        30
TOKC        OKC-TDWR      35      16      34        97     30      36       399
TORD        ORD-TDWR      41      47      49        87     51      30       227
TPBI        PBI-TDWR      26      41      16        80     16      23        41
TPHL        PHL-TDWR      39      56      57        75      4      12        47
TPHX        PHX-TDWR      33      25      14       112      9      46       332
TPIT        PIT-TDWR      40      30       5        80     29      10       422
TRDU        RDU-TDWR      36       0       7        78     41      50       157
TSDF        SDF-TDWR      38       2      45        85     36      38       223
TSJU        SJU-TDWR      18      28      26        66     10      46        48
TSLC        SLC-TDWR      40      58       2       111     55      47      1309
TSTL        STL-TDWR      38      48      19        90     29      21       197
TTPA        TPA-TDWR      27      51      34        82     31       4        28
TTUL        TUL-TDWR      36       4      14        95     49      35       251
XUTA        ArlingTX      32      43      50        97      6      45       300
UNKN        Unknown        0       0       0         0      0       0         0 
